Column1,Column2
34.97838489,1.495900093
38.32518178,2.062499048
13.72330525,1.201741786
43.47137716,2.034373947
79.6828187,3.091818369
68.5090918,3.232226916
34.79256997,1.597215543
71.92702988,2.711311517
61.40811809,2.395353214
53.370282,1.998602668
18.62586188,0.782496729
57.92299864,2.63658715
6.615979479,0.817210612
35.98710703,1.443840667
57.08592019,2.239742553
44.59813411,2.308489548
49.91830215,2.170012042
16.55008597,0.642497013
44.22938073,2.117961484
35.22146041,1.803379001
29.90940163,1.593199193
36.588218,1.788480355
35.12000388,1.638895902
74.58856912,3.41709981
64.0784817,2.488422244
13.0263065,1.104468253
64.3452299,2.841702793
34.89476781,1.330577043
37.05546874,1.994372716
19.01572107,0.844782693
74.80424731,3.131221695
21.98320305,1.1673744
20.36333411,1.360225914
6.038212106,0.935001981
7.269091515,0.684457722
76.90947668,3.016110769
44.15158474,2.353009698
42.37657377,1.827163502
32.47544004,1.294366937
13.79186278,1.260313444
8.828599264,0.527509321
44.36890711,2.134114271
33.5356233,1.424564661
40.60424312,2.006113852
43.97733429,2.332864491
30.99193121,1.271397895
15.35304858,0.647554238
36.66920369,2.059663563
26.51958376,1.58043017
57.82621702,2.717981812
18.98567024,1.18674369
48.61715876,1.790603826
45.26285612,2.236277011
19.80586859,1.244816712
42.21845777,1.677422422
26.15424042,1.398196993
76.65370055,3.504274734
18.82476892,0.767497046
10.67499947,0.89126177
2.219871252,0.609001449
