Column1,Column2
47.15393151,1.40101016
49.30873531,2.01212025
17.21825206,0.517486534
55.02304929,1.874134328
101.8768544,2.859218645
87.59221196,2.991164622
45.21017432,1.216023253
91.32734166,3.011080097
78.02579503,2.548404726
69.45419081,2.18120756
24.69149806,1.315385527
75.57483927,2.137399462
7.143704483,0.898298897
45.25818925,1.85419737
72.61376976,2.572274516
57.19501732,2.070883939
64.61844128,2.278474696
20.64428193,0.974398212
55.64916411,1.613539056
44.81582341,1.211111109
37.46819332,1.008048452
47.46540577,1.499794999
45.72279926,1.728424311
95.68986966,2.684838337
82.97306454,2.77878898
16.62808261,0.716184779
82.81780064,2.327858721
43.88869207,1.486453187
48.12737296,2.024649977
24.48116421,1.143805287
95.49618926,2.519167799
29.43262635,1.378582201
26.21936314,0.979022577
7.301227022,0.525401059
10.81975008,0.760937901
97.46787682,2.781063726
55.23056713,2.146938137
54.93031243,1.713123119
42.02364075,1.304538783
17.40016738,0.664987801
11.17715845,0.954312173
56.33111806,2.087701117
42.78886684,1.338316863
52.0577518,1.671671829
56.37450007,1.573125939
39.65206458,1.591569576
18.48830103,1.204866335
47.89342296,1.418245244
33.76352608,1.567695632
75.18714115,2.685796559
22.85526588,0.776602063
62.1016593,1.641623895
56.81943319,1.642895072
24.87453796,1.091304516
54.53078617,1.946080315
33.65502065,0.963157215
99.26256715,2.66077959
24.51101022,0.958045818
35.788,1.161224766
28.12,1.143527475
