Column1,Column2
20.64,0.60477823
19.5,0.637321051
5.42,0.946007143
23.2,0.900923174
42.7,1.711828843
28.7,0.81040239
16.2,0.764003662
42.4,1.708904589
34.4,1.010778906
30.95,1.44716295
9.5,0.40965441
32.5,1.225522293
2.6,0.206282119
16.6,1.213723304
30.7,1.41469585
23,0.882094067
27.54,0.913105059
7.13,0.902995721
24.58,1.393163217
15.49,0.867707664
11.96,0.465954159
18.1,0.728116763
0,0
39.9,1.26534396
28.8,1.161897801
5.15,0.208247519
36.3,1.685182238
19.13,1.052162933
12.25,0.480263502
9.68,0.384835705
39.5,1.293055114
2.92,0.308478831
11.01,0.770917901
2.2,0.815692819
0,0
43.36,1.420286702
20.48,0.631257236
18.24,0.737892934
13.58,0.945070431
0,0
0,0
17.2,0.507895108
10.01,0.523083165
16.1,1.099033864
23.25,0.729638258
11.1,0.742858765
0,0
7.4,0.780996754
15.11,1.109680137
31.37,0.987284137
7.25,0.316923516
23.6,1.167460634
21.98,0.966152779
7.3,0.621430826
21.8,1.004698494
12.5,0.980469511
39.7,1.812490225
0,0
0,0
0,0
